Data Element ID,Data element,DatasetID ,Date created ,Date updated ,Synonyms ,Translation of data element ,Descripton  ,Data element type ,Field property/data type for value,Field size ,Value selection/capture method ,Values/Codes for Values ,Value source 
rtog1_grade_subcutaneous_tissue,Late Radiation Morbidity Scoring - Subcutaneous Tissue,Radiotherapy & Oncology,May-13,,,,Scoring system to grade late/long term morbidity post radiotherapy treatment for subcutaneous tissue,,Alphanumeric,,Select from a shortlist,Refer to lookup table Late Radiation Morbidity Scoring (RTOG Grade) - Subcutaneous Tissue,
,LDL-C,Cardiology,May-13,,,,The person’s measured low-density lipoprotein cholesterol (LDL-C) most level before event (in mmol/L),,Numeric,,,,NCVD-ACS NCVD-PCI
left_main_stem_intervention,Left Main Stem Intervention,Cardiology,May-13,,,,Indicate type of PCI performed at LMS,,Alphanumeric,,Select from a shortlist,Refer to lookup table Left Main Stem Intervention,NCVD-PCI
,Length of Stay,Neurology,May-13,,,,The length of time (in days) the patient was admitted for. This data item will be derived from Date of Admission and Date of Discharge,,Numeric,,,,
,Lesion Code,Cardiology,May-13,,,,Indicate the sites of lesion treated by PCI,,Numeric,,,,NCVD-PCI
lesion_description,Lesion Description,Cardiology,May-13,,,,Describes the site and characteristic of lesions,,Alphanumeric,,Select from a shortlist,Refer to lookup table Lesion Description,NCVD-PCI
lesion_result,Lesion Result,Cardiology,May-13,,,,Indicate for the treated lesion whether the treatment was successful or unsuccessful,,Alphanumeric,,Select from a shortlist,Refer to lookup table Lesion Result,NCVD-PCI
lesion_type,Lesion Type,Cardiology,May-13,,,,The lesion type according to ACC/AHA guidelines that determines the complexity of the lesions thus determining the success rate and complication rates following PCI,,Alphanumeric,,Select from a shortlist,Refer to lookup table Lesion Type,NCVD-PCI
living_arrangement,Living Arrangement,Mental Health/Psychiatric,Sep-12,,,,Variable that collects the familial and non-familial relationships of a person to all the other people with whom they usually reside,,Alphanumeric,,Select from a shortlist,Refer to lookup table Living Arrangement,
,LMWH,Cardiology,May-13,,,,Indicate if Low Molecular Weight Heparin medication was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS NCVD-PCI
,LMWH Given during Admission,Cardiology,May-13,,,,Low Molecular Weight Heparin administered during admission?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
location_graft,Location in Graft,Cardiology,May-13,,,,"Where a graft PCI is being undertaken, it indicates the location of the lesion within the graft",,Alphanumeric,,Select from a shortlist,Refer to lookup table Location in Graft,NCVD-PCI
,Location Name,"Hospital Discharge, Cancer, Mental Health/Psychiatric",Mar-03,,,Nama jalan,House number and street name as per NRIC or as stated by the individual,,Alphanumeric,150 characters,,NA,Public Sector Data Dictionary (PSDD)
,Location of Admission,Neurology,May-13,,,,Location of patient at the time of admission,,Alphanumeric,20 characters,,,
location_death,Location of Death,Cardiology,May-13,,,,The location at which the patient expired,,Alphanumeric,,Select from a shortlist,Refer to lookup table Location of Death,NCVD-PCI
location_lms,Location of LMS,Cardiology,May-13,,,,Site of lesion in LMS,,Alphanumeric,,Select from a shortlist,Refer to lookup table Location of LMS,NCVD-PCI
,Loss of Radial Pulse,Cardiology,May-13,,,,"Indicate whether an acute loss of the pulse radial to the arterial access site occurred either by dissection, thrombus or distal embolization",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Lost to Follow-up,Radiotherapy & Oncology,May-13,,,Tidak menepati temujanji atau tidak dapat dihubungi,Patient who fail to turn up for clinic appointment or not reachable/contactable at the point of follow up due date,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,LSCS,NOR,May-13,,Lower segment caesarean section,,An incision made in the lower segment of the uterus to deliver the baby,,,,,,NOR
lymphocytic_infiltrate_peritumoral_lymphoid_aggregates_colorectal_cancer,Lymphocytic Infiltrate -Peritumoral Lymphoid Aggregates in Colorectal Cancer,Colorectal Cancer,May-13,,,Penerapan sel-sel lymphoid di sekitar tumor dalam kanser kolorektal,The aggregation of lymphoid cells surrounding the tumour in colorectal cancer,,Alphanumeric,,,Refer to lookup table Lymphocytic Infiltrate -Peritumoral Lymphoid Aggregates in Colorectal Cancer,
lymphovascular_infiltration_colorectal_cancer_angiolymphatic_invasion,Lymphovascular Infiltration in Colorectal Cancer Angiolymphatic Invasion,Colorectal Cancer,May-13,,,Penerapan kanser ke dalam sistem limfa dan salur darah dalam kanser kolorektal,Assessment of infiltration of cancer cells into the lymphatic and vascular flow- Angiolymphatic Invasion,,Alphanumeric,,,Refer to lookup table Lymphovascular Infiltration in Colorectal Cancer - Angiolymphatic Invasion,
lymphovascular_infiltration_colorectal_cancer_venous_extramural_invasion,Lymphovascular Infiltration in Colorectal Cancer - Venous (Extramural) Invasion,Colorectal Cancer,May-13,,,Penerapan kanser ke dalam sistem limfa dan salur darah dalam kanser kolorektal,Assessment of infiltration of cancer cells into the lymphatic and vascular flow - Venous (Extramural) Invasion,,Alphanumeric,,,Refer to lookup table Lymphovascular Infiltration in Colorectal Cancer - Venous (Extramural) Invasion,
m_staging_pathology_colorectal_cancer,M Pathology Staging in Colorectal Cancer,Colorectal Cancer,May-13,,,Pengelasan patologi M dalam kanser kolorektal,The level of metastasis in colorectal cancer if present,,Alphanumeric,,,Refer to lookup table M Staging in Pathology of Colorectal Cancer,
,Macerated Stillbirth,NOR,May-13,,,,"Intrauterine death of a fetus sometime before the onset of labor, where the fetus showed degenerative changes",,,,,,NOR
major_congenital_anomalies,Major Congenital Anomalies,Obstetric,Oct-06,,,Kecacatan kelahiran major,"A major congenital abnormality is defined as any abnormality of prenatal origin that if uncorrected or uncorrectable, significantly impairs normal physical or social function or reduce normal life expectancy",,Alphanumeric,,,Refer to lookup table Major Congenital Anomalies,MNNR CRF 2012
major_congenital_anomalies_metadata,Major Congenital Anomalies (Meta Data),"Neonatology, MNNR, NOR",May-13,,,,A major congenital abnormality is defined as any abnormality of prenatal origin that if uncorrected or uncorrectable significantly impairs normal physical or social functions or reduce normal life expectancy,,Alphanumeric,3 characters,Select from a shortlist,Refer to lookup table Major Congenital Anomalies,MNNR
manner_of_death,Manner of Death,Forensic,Sep-12,,,Cara kematian,Circumstances surrounding the death,,Alphanumeric,,,Refer to lookup table Manner of Death,
,Mantoux Test Result,Dermatology,May-13,,,,Mantoux test reading in mm 3 days after the test,,Numeric,2 characters,,,
marital_status,Marital Status,"Person Record, Radiotherapy & Oncology, Forensic, Mental",Mar-03,Apr-12,Matrimonial status,Taraf perkahwinan,Matrimonial status of an individual,,Alphanumeric,15 characters,,Refer to lookup table Marital Status,Updated version PUBLIC SECTOR DATA DICTIONARY (PSDD)
material_of_iol,Material of IOL,Ophthalmology,May-13,,,,Substance constituting the IOL,,Alphanumeric,,,Refer to lookup table Material of IOL,
,Maternal Age,"MNNR, NOR",May-13,,,,Age in completed years of the woman giving birth on the date of the baby’s birth,,Numeric,2 characters,,,ANZNN
,Maternal Collapse,NOR,May-13,,,,"An acute event involving the cardio respiratory system and /or brain, resulting in reduced or absent conscious level and potential death at any stage in pregnancy and up to six weeks after delivery",,,,,,NOR
maternal_indication_intervention,Maternal Indication for Intervention,Obstetric,Oct-06,Apr-12,Maternal delivery indication,Indikasi intervensi bagi ibu mengandung,"The medical or obstetric condition of the mother indicating obstetric intervention. Intervention: process of action taken to expedite progress of labour, delivery and other obstetric procedures",,Alphanumeric,,,Refer to lookup table Maternal Indication for Intervention,NOR
maternal_screening_test,Maternal Screening Test,Obstetric,Apr-12,,,,Standard antenatal blood screening test done during current pregnancy,,Alphanumeric,,,Refer to lookup table Maternal Screening Test,MoH
,Maximum Balloon Size Used,Cardiology,May-13,,,,"For the treated lesion, indicate the maximum balloon diameter size used during the PCI (mm)",,Numeric,2 characters,,,NCVD-PCI
,Maximum Stent/Balloon Deploy Pressure,Cardiology,May-13,,,,"For the treated lesion, indicate the maximum stent/balloon deploy pressure (atm)",,Numeric,3 characters,,,NCVD-PCI
measurement_of_duration,Measurement of Duration,"Hospital Discharge, Pharmacy",Sep-12,,,Unit ukuran tempoh preskripsi,Duration of medication in unit of measure,,Alphanumeric,5 characters,,Refer to lookup table Measurement of Duration,"PhIS, MoH"
,Meconium Aspiration Syndrome,"MNNR, NOR",May-13,,,,"1. Presence of meconium stained amniotic fluid at birth 2. Respiratory distress with onset within 1 hour of birth 3. Abnormal -CXR compatible with meconium aspiration 4. Absence of culture proven early onset bacterial sepsis or pneumonia 5. A PaO2<50mmHg in room air, central cyanosis in room air or a requirement for supplemental oxygen to maintain a PaO2 >50mmHg",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Medical Alert/Co-existing Condition,Hospital Discharge,Dec-05,Apr-12,,Awasan perubatan /ujud bersama keadaan,Conditions of clinical significant that exist or coexist that requires alert in patient management,,Alphanumeric,200 characters,,Refer to ICD-10,WHO International Classification of Diseases and Health Related Problems 10th Revision (ICD 10)
medical_complications_within_7_postoperativedays_colorectal_cancer,Medical Complications within 7 Post Operative Days in Colorectal,Colorectal Cancer,May-13,,,Komplikasi perubatan dalam masa 7 hari dari pembedahan pesakit kanser kolorektal,Medical complications that occurred within 7 days post op in colorectal cancer,,Alphanumeric,,,Refer to lookup table Medical Complications within 7 Post Operative Days in Colorectal Cancer,
medical_history_colorectal_cancer,Medical History of Colorectal Cancer,Colorectal Cancer,,,,Sejarah penyakit yang berkaitan pesakit yang mengidap kolorektal kanser,Illness that exist or coexist in patient with colorectal cancer,Numeric,,,Refer Lookup table of Medical history of Colorectal Cancer,,
,Medical Leave – Certificate Number,Hospital Discharge,Dec-05,,,Cuti sakit – nombor sijil,Serial number of the medical leave book,,Alphanumeric,10 characters,,,
,Medical Leave – Duration,Hospital Discharge,Dec-05,,,Cuti sakit – tempoh,Length in days,,Numeric,3 characters,,,
,Medical Leave – End Date,Hospital Discharge,Dec-05,,,Cuti sakit – tarikh akhir,Date ended,,Date - DD/MM/YYYY,8 characters,,,
,Medical Leave – Start Date,Hospital Discharge,Dec-05,,,Cuti sakit – tarikh mula,Date commenced,,Date - DD/MM/YYYY,8 characters,,,
,Medical Problem/History,"Obstetric, Neonatology, NOR",,,Maternal diseases,,Pre-existing condition and /or illnesses occurring during current pregnancy that potentially affect current pregnancy,Numeric,,,,,
,Medical Record Number,"Hospital Discharge, Forensic",Sep-12,,MRN,Nombor rekod pesakit,Unique number to identify the medical record document in health care facility providing care to the patient,,Alphanumeric,12 characters,,,
,Medication Name,Hospital Discharge,Dec-05,Apr-12,Name of drug,Nama ubat,Name of medication,,Alphanumeric,30 characters,,Refer Malaysian Drug Code (MDC),MoH
medicolegal_cases,Medico-legal Cases,Transplant,May-13,,,,Cases as defined under Section 328 of the Malaysian Criminal Procedure Code,,Alphanumeric,,,Refer to lookup table Medico-legal Cases,
,Medico-legal Specimen,Forensic,Sep-12,,,Spesimen Mediko-legal,All samples/items collected from live person or dead body for the purpose of medico-legal/police investigation,,Alphanumeric,50 characters,,,
,Medina Classification,Cardiology,May-13,,,,"It involves assigning a binary value (1,0) to each of the three components of a bifurcation (proximal region of main branch, distal region of main branch, and the side branch) depending whether there is more than (1) or less than (0) fifty percent lesion stenosis. If only proximal segment of the main branch (1) has a significant lesion, it becomes Medina 1, 0, 0. It distal segment of main branch alone is involved, it becomes 0, 1, and 0. Sole involvement of side branch is designated 0, 0, 1 and involvement of all the three is designated 1, 1, 1 and so on",,Numeric,1 character,"Binary (0, 1)",,NCVD-PCI
method_respiratory_diagnosis,Method of Respiratory Diagnosis,Respiratory,May-13,,,Kaedah diagnosa respiratori,The way the diagnosis of respiratory was made,,Alphanumeric,,Select from a shortlist,Refer to lookup table Method of Respiratory Diagnosis,
,Missing Permanent Teeth (M),Oral Health,Sep-12,Sep-12,Permanent teeth extracted,Gigi kekal yang telah dicabut,Number of teeth extracted,,Alphanumeric,2 characters,,Refer lookup table Missing Permanent Teeth,MoH
,MMC/MDC Registration Number,Hospital Discharge,Apr-12,,Reporter’s medical registration number,Nombor pendaftaran pelapor,MMC/MDC registration number,,Numeric,6 characters,,,MoH (MMC/MDC)
mmrc,MMRC,Respiratory,May-13,,,,Modified Medical Research Council Dyspnoea grading system,,Alphanumeric,,Select from a shortlist,Refer to lookup table MMRC,
mode_of_arrival,Mode of Arrival,Emergency,Oct-06,Apr-12,,Jenis ketibaan,Denotes the transport manner in which the patient arrived at Emergency Department,,Alphanumeric,30 characters,,Refer to lookup table Mode of Arrival,MoH
mode_of_delivery,Mode of Delivery,"Obstetric, MNNR, NOR",Oct-06,Apr-12,,Cara bersalin,Denotes the type of delivery conducted,,Alphanumeric,,,Refer to lookup table Mode of Delivery,NOR
mode_of_detection_colorectal_cancer,Mode of Detection of Colorectal Cancer,Colorectal Cancer,May-13,,,Cara pengesanan kanser kolorektal,Methods employed in disease detection,,Alphanumeric,,,Refer to lookup table Mode of Detection of Colorectal Cancer,
,Modified Rankin Scale,Neurology,May-13,,,,"A record of the functional outcome after an event based upon the extent of any disability or disabling symptoms experienced by the patient following the event, measured using the Modified Rankin Score tool",,Alphanumeric,,,,
morphology,Morphology,"Cancer, Nuclear Medicine",,Apr-12,Histology of primary cancer,Histologi kanser asal,Describe the histopathology of the tumour,,Alphanumeric,80 characters,,Refer Lookup Table,ICD-O ver 3
,Mother Status,NOR,May-13,,,,Condition of mother after delivery whether alive or dead,,,,,,NOR
,Multiple Pregnancy,NOR,May-13,,,,"Is a pregnancy of more than one fetuses such as two (twin), three (triplet), four (quintuplet) or more in a single pregnancy",,,,,,NOR
,Multiplicity,"Obstetric, Neonatology, MNNR, NOR",Apr-12,,,,"To indicate a singleton, twin, triplet or others i.e. quadruplets, etc",,Alphanumeric,,,"Singleton, Twin (TW1, TW2), Triplets (TR1,TR2,TR3), Others",MNNR
n_pathology_staging_colorectal_cancer,N Pathology Staging in Colorectal Cancer,Colorectal Cancer,May-13,,,Pengelasan patologi N dalam kanser kolorektal,The nodal involvement in the pathology of colorectal cancer,,Alphanumeric,,,Refer to lookup table N pathology staging in colorectal cancer,
,Name of Hospital,Cardiology,May-13,,,,Name of hospital where the patient was transferred to,,Alphanumeric,,Type in,,NCVD-ACS NCVD-PCI
,Name of Institution,Dermatology,May-13,,,,Name of hospital where patient receive treatment,,Alphanumeric,100 characters,,,
name_of_protocol_regiment_colorectal_cancer,Name of Protocol/Regiment in Colorectal Cancer,Colorectal Cancer,May-13,,,Nama protokol/regimen dalam kanser kolorektal,The regime of chemotherapy used in colorectal cancer,,Alphanumeric,,,Refer to lookup table Name of Protocol/Regiment in Colorectal Cancer,
,National Essential Drug List (NEDL),Pharmacy,Sep-12,,,Senarai ubat perlu kebangsaan,Whether drug is categorised as NEDL,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",PhIS
nationality,Nationality,"Person Record, Cancer, Nuclear Medicine, Forensic, Mental",Mar-03,Apr-12,,Kewarganegaraan,Nationality as per stated in the legal document,,Alphanumeric,45 characters,,Refer to lookup table Nationality,
,Necrotizing Enterocolitis,MNNR,May-13,,,,"1. Diagnosis at surgery or post mortem, or 2. Radiological diagnosis, a clinical history plus - Pneumatosis intestinalis, or - Portal vein gas, or - A persistent dilated loop on serial x-rays, or 3. Clinical diagnosis, a clinical history plus abdominal wall cellulitis and palpable abdominal mass",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",ANZNN
neoadjuvant_therapy_colorectal_cancer,Neoadjuvant Therapy in Colorectal Cancer,Colorectal Cancer,May-13,,,Terapi neoadjuvant dalam kanser kolorektal,Whether neo adjuvant treatment was given to the patient with colorectal cancer,,Alphanumeric,,,Refer to lookup table Neoadjuvant Therapy in Colorectal Cancer,
,Neonatal Meningitis,MNNR,May-13,,,,"Signs of clinical sepsis and evidence of meningeal infection as shown in cerebrospinal fluid findings (i.e. cytology, biochemistry or microbiologic findings)",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MNNR
,New Ischaemia,Cardiology,May-13,,,,Indicate if the patient has new ischaemia following index PCI during hospitalization and prior to discharge,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,New Onset Angina (< 2 Weeks),Cardiology,May-13,,,,Indicate if the patient has an angina for in the past 2 weeks prior to this admission to the hospital,,Alphanumeric,10 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Known",NCVD-ACS NCVD-PCI
,New Onset/Worsened Heart Failure,Cardiology,May-13,,,,Indicate if the patient experienced documented new onset HF or an acute reoccurrence of HF which necessitated new or increased pharmacologic therapy during the cath. lab visit or after lab visit until discharge (or before any subsequent lab visits),,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
newborn_screening_test_cord_blood_tsh,Newborn Screening Test (Cord Blood TSH),Obstetric,Apr-12,,,,"Thyroid Stimulating Hormone taken from the cord blood. If borderline or high, need to be repeated after 72 hours from venous sample",,Alphanumeric,,Select form a shortlist,Refer to lookup table Newborn Screening Test (Cord Blood TSH),National Perinatal Care Manual
,Newborn Screening Test (G6PD),Obstetric,Apr-12,,,,Glucose-6-Phosphate Dehydrogenase deficiency. In cases of indeterminate/intermediate laboratory results test need to be repeated,,Alphanumeric,10 characters,,"01 = Normal, 02 = Deficient",MoH
,Next of Kin Name,"Person Record, Radiotherapy & Oncology, Forensic, Mental",Mar-03,,NOK,Nama waris,Name as stated by patient or by accompanying person,,Alphanumeric,80 characters,,,
nhi_contribution_status,NHI Contribution Status,Person Record,Dec-05,,,Status sumbangan kepada NHI,Describes whether a person is contributing to NHI or otherwise,,Alphanumeric,20 characters,,Refer to lookup table NHI Contribution Status,
,Nitric Oxide,MNNR,May-13,,,,Nitric Oxide used in any form or dose for respiratory support of the baby,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",ANZNN Data Dictionary
,No Reflow,Cardiology,May-13,,,,Indicate for the treated segment if there was a period where no flow was noted during the PCI procedure,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PC
,Non Invasive Test,Cardiology,May-13,,,,"Diagnostic process that does not introduce a catheter to the heart. Non invasive test is used to determine the prognosis, detect ischaemia, and to evaluate the therapy of a patient with coronary artery disease. Indicate if the test is performed",,Alphanumeric,8 characters,select from a shortlist,"01 = Done, 02 = Not done",NCVD-PCI
non_invasive_test_performed,Non Invasive Test Performed,Cardiology,May-13,,,,Indicate type of test performed,,Alphanumeric,,Select from a shortlist,Refer to lookup table Non Invasive Test Performed,NCVD-PCI
,Non Pharmacology Therapy/Diet Therapy,Cardiology,May-13,,,,Indicate therapy used other than medication,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS NCVD-PCI
,None of the Above,Cardiology,May-13,,,,When none of the description above is applicable,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Number of Admission to General Ward for Asthma or COPD Exacerbation,Respiratory,May-13,,,Bilangan kemasukan ke wad perubatan untuk serangan akut asma atau COPD,Number of general ward admission in the past year for asthma or COPD exacerbation,,Numeric,2 characters,,,
,Number of Admission to Intensive Care Unit for Asthma or COPD Exacerbation,Respiratory,May-13,,,Bilangan kemasukan ke Unit Rawatan Rapi untuk serangan akut asma atau COPD,Number of general ward admission in the past year for asthma or COPD exacerbation,,Numeric,2 characters,,,
,Number of Attempts at Intentional Self Harm/Poisoning,Mental Health/Psychiatric,Sep-12,,,,Number of attempts at intentional self harm/poisoning,,Numeric,2 characters,,,
,Number of Burr,Cardiology,May-13,,,,Number of rotablator device used,,Numeric,,,,NCVD-PCI
,Number of Clinic Visit due to Psoriasis,Dermatology,May-13,,,,How many times patient came to the clinic for follow-up in the last 6 months,,Numeric,2 characters,,,
,Number of Cycles Administered in Colorectal Cancer,Colorectal Cancer,May-13,,,Bilangan pusingan rawatan dalam kanser kolorektal,Number of cycles of chemotherapy/biological therapy given in colorectal cancer,,Numeric,3 characters,,,
,Number of Day(s) Patient in Intensive Care,Hospital Discharge,Dec-05,,,Bilangan hari dalam rawatan intensif,Number of days in intensive care,,Numeric,3 characters,,,
,Number of Day(s) Patient on Ventilator,Hospital Discharge,May-13,,,Bilangan hari pesakit dalam ventilator,The total number of days on ventilator to include Intermittent Mechanical Ventilation and continuous positive airways pressure while the person was under critical care management,,Numeric,3 characters,,,
,Number of Days Off Work/School due to Psoriasis,Dermatology,May-13,,,,Number of days where patient is absent for work or school due to psoriasis in the last 6 months,,Numeric,2 characters,,,
,Number of Dependants,Mental Health/Psychiatric,Sep-12,,,Ahli keluarga di bawah tanggungan penama,Number of persons who depend on patient as the primary source of support,,Numeric,2 characters,,,
,Number of Distinct Episodes of Angina in Past 24 Hours,Cardiology,May-13,,,,Number of distinct episodes of anginal pain that occurred in the 24 hours before hospital presentation. Indicate as 0 if no episode and as not available when the information is not recorded,,Numeric,,,,NCVD-ACS
,Number of Hospital Admissions due to Psoriasis,Dermatology,May-13,,,,Number of times patient admitted to the ward in the past 6 months due to psoriasis,,Numeric,2 characters,,,
,Number of Overnight Stays in CCU,Cardiology,May-13,,,,"Number of days spent in at the CCU only, either consecutively or intermittently",,Numeric,,,,NCVD-ACS
,Number of Overnight Stays in ICU/CICU,Cardiology,May-13,,,,"Number of days spent in at the ICU/CICU only, either consecutively or intermittently",,Numeric,,,,NCVD-ACS
,Number of Past Psychiatric Admissions,Mental Health/Psychiatric,Sep-12,,,,Number of past psychiatric admissions,,Numeric,2 characters,,,
number_of_polyp_present_pathology_colorectal_cancer,Number of Polyp Present in the Pathology of Colorectal Cancer,Colorectal Cancer,May-13,,,Kehadiran jumlah polyp dalam evalusi patologi kanser kolorektal,The number of detected polyps in patients with colorectal cancer,,Alphanumeric,,,Refer to lookup table Number of Polyp Present in the Pathology of Colorectal Cancer,
,Number of Positive Lymph Nodes in Pathology of Colorectal Cancer,Colorectal Cancer,May-13,,,Jumlah kelanjar limfa yang positif berasaskan patologi dalam kanser,The number of positive lymph nodes on pathological examination of colorectal cancer,,Numeric,2 characters,,,
,Number of Previous Graft in Operated Eye,Ophthalmology,May-13,,,,Frequency of corneal graft done in the operated eye,,Alphanumeric,,,,
,Number of Regional Lymph Nodes Examined in Pathology of Colorectal Cancer,Colorectal Cancer,May-13,,,Jumlah kelanjar limfa yang diperiksa berasaskan patologi dalam kolorectal,The number of lymph nodes examined based on clinical examination in colorectal cancer,,Numeric,2 characters,,,
,Number of Visits to Emergency Department for Asthma or COPD Exacerbation,Respiratory,May-13,,,Bilangan mendapat rawatan ke wad kecemasan untuk serangan akut,Number of emergency visits past year for asthma or COPD exacerbation,,Numeric,2 characters,,,
nyha,NYHA,Cardiology,May-13,,,,New York Heart Association (NYHA) classification is a functional and therapeutic classification for prescription of physical activity for cardiac patients,,Alphanumeric,,Select from a shortlist,Refer to lookup table NYHA,NCVD-ACS NCVD-PCI
,Occupation,"Person Record, Forensic, Mental Health/Psychiatric",Dec-05,Apr-12,,Pekerjaan,Describes the occupation as stated by the individual,,Alphanumeric,40 characters,,,
,Occupation Class,"Person Record, Forensic",Apr-12,,,Kelas pekerjaan,Relates to the occupation class in which the individual is employed,,Alphanumeric,120 characters,,Refer to Malaysian Standard Classification of Occupation (MASCO),Malaysian Standard Classification of Occupation (MASCO)
occupation_sector,Occupation Sector,"Person Record, Mental Health/Psychiatric",Mar-03,Apr-12,,Sektor pekerjaan,Relates to the occupation sector in which the individual is employed,,Alphanumeric,60 characters,,Refer to lookup table Occupation Sector,Updated version Public Sector Data Dictionary (PSDD)
,OCSP,Neurology,May-13,,,,"The Oxford Community Stroke Project classification (OCSP, also known as the Bamford or Oxford classification) relies primarily on the initial symptoms; based on the extent of the symptoms, the stroke episode is classified as total anterior circulation",,Alphanumeric,,,,
,OCT Guided,Cardiology,May-13,,,,Use of Optical Coherence Tomography device,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
ocular_comorbidity,Ocular Comorbidity,Ophthalmology,May-13,,,,Denote presence of any ocular diseases in the eye to be operated which may affect vision and visual function post operatively,,Alphanumeric,,,Refer to lookup table Ocular Comorbidity,
,Old IC No.,Cardiology,May-13,,,,Identification card number of patient,,Alphanumeric,,,,NCVD-ACS NCVD-PCI
,Oliguria,Transplant,May-13,,,,Urine output of <0.5 mls/kg/hr,,Alphanumeric,,,,
,Omission of IOL Implantation,Ophthalmology,May-13,,,,Denotes IOL not implanted during cataract surgery,,Alphanumeric,,,,
,Operated Eye,Ophthalmology,May-13,,,,Denotes laterality of eye operated on,,Alphanumeric,,,,
operation_performed_colorectal_cancer,Operation Performed in Colorectal Cancer,Colorectal Cancer,May-13,,,Pembedahan yang dilakukan dalam kanser kolorektal,Type of surgery performed,,Alphanumeric,,,Refer to lookup table Operation Performed in Colorectal Cancer,
,Oral Anticoagulant Agent (eg: Warfarin),Cardiology,May-13,,,,Indicate if Oral Anticoagulant agent medication was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Oral Anticoagulant Given at Discharge,Cardiology,May-13,,,,Oral Anticoagulant prescribed upon discharge,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Oral Anticoagulant Given during Admission,Cardiology,May-13,,,,Oral Anticoagulant administered during admission,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
oral_hygiene_code,Oral Hygiene Score,Oral Health,Sep-12,Sep-12,Total plaque score,Skor kebersihan mulut,,,Alphabet,1 character,,Refer to look up table Oral Hygiene Code,MoH
,Oral Hypoglycaemic Agent (OHA),Cardiology,May-13,,,,Oral Hypoglycaemic Agent was given to the patient for diabetes mellitus,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS NCVD-PCI
,Oral Hypoglycaemic Agent Given at Discharge,Cardiology,May-13,,,,Oral hypoglycaemic agent administered given at discharge,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Oral Hypoglycaemic Agent Given during Admission,Cardiology,May-13,,,,Oral hypoglycaemic agent administered during admission,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
organ_donor_status,Organ Donor Status,"Person Record, Forensic, Transplant",Dec-05,,,Status penderma/status pengikrar organ,Organ donor status as reported by the individual,,Alphanumeric,18 characters,Select from a shortlist,Refer to lookup table Organ Donor Status,
organ_donor_type,Organ Donor Type,Forensic,Sep-12,,Jenis penderma organ,Type of organ donor,,,Numeric,2 characters,,Refer lookup table for Organ Donor Type,Forensic Medicine Information System
organ_type,Organ Type,"Person Record, Forensic",Dec-05,Apr-12,,Jenis organ,Organ/tissue pledged to be donated upon death/brain death certification of the individual as stated,,Alphanumeric,20 characters,,Refer to lookup table Organ Type,MoH
patient_type_oscc,OSCC Patient Type,Emergency,Oct-06,,,Jenis krisis setempat,Denotes values to describe the categorization of the type of patient attending the OSCC,,Alphanumeric,18 characters,,Refer to lookup table Patient Type - OSCC,MoH
,Other Adjunctive Procedure,Cardiology,May-13,,,,Other procedures used during PCI,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Other Adverse Reaction/Events,Hospital Discharge,Dec-05,Apr-12,,Lain-lain alahan,Adverse event excluding ADR that occurred during current hospitalization,,Alphanumeric,200 characters,,Refer to ICD-10,WHO International Classification of Diseases and Health Related Problems 10th Revision (ICD 10)
,Other Antiplatelet,Cardiology,May-13,,,,Indicate if other antiplatelet medication was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
